,Cough,Fever,Abdominal_pain,skin_rash,Lactic_acisdosis,Lipodystrophy,Anemia,Anorexia,Diarrhea,Leg_pain,Night_Sweats,Other,Peripheral_neuropathy,Vomiting,Weight_loss,Age,Last Drug,Tot Prev Month Symptoms
Original_symptoms.csv
Cough,0.197349263078,0.0420551913545,0.0712124243929,0.110305880478,0.0318166037362,0.0389556922678,0.00291886612056,0.0327700510425,0.00570674433195,0.0232219701268,0.0335320264148,0.0498205903505,0.0179408259475,0.00604094073795,0.0391134176882,0.176247421505,0.0476814405654,0.0733106498615
Fever,0.0930415090039,0.222009029397,0.0415663882748,0.038683704512,0.0165385581586,0.0280470211511,0.00396556219307,0.0278629560237,0.016504952474,0.0232287991304,0.0474967012276,0.0553209604134,0.0182117057982,0.015101944726,0.0339410036351,0.203313552971,0.0674664209758,0.0476992299336
Abdominal pain,0.0627037203811,0.0619749405369,0.269847582494,0.0504500776756,0.0588355440259,0.0427535374596,0.00862500166952,0.0449855726283,0.0231652386397,0.031372011081,0.00911405369181,0.0490366194366,0.0219265221205,0.0118865862608,0.0127129004712,0.138811841361,0.0529356722857,0.0488625777816
Skin rash,0.0827114327335,0.11615909525,0.0392772376855,0.186919931484,0.0412961189906,0.0638642737705,0.00124534486623,0.0686534158276,0.00444522724049,0.0275618920305,0.00491496426176,0.0212660259245,0.0159820165027,0.0016991987162,0.00807804223682,0.12036437734,0.0567135773027,0.138847827836
Lipodystrophy,0.0373251037332,0.0226864187824,0.0260315399334,0.108097107327,0.0947070697602,0.329445740796,1.50176653862e-06,0.0189918925557,0.000958927180423,0.023245075112,0.00366523097815,0.0322857232544,0.023192133118,6.81317342695e-05,0.0078685084031,0.143849299644,0.100222471917,0.0273581240041
Anemia,0.0337980922773,0.0180378890404,0.00790807168102,0.0128621465694,0.000417069944044,0.0369241233069,0.53987627484,0.0,0.025385537479,0.00125094625292,0.0129720400815,0.0298065400848,0.0710120369755,0.0,2.6157289179e-05,0.088794638466,0.0488793650415,0.0720490706704
Anorexia,0.0174005308409,0.0784315463634,0.0344055195051,0.0260916618773,0.0445749073998,0.0465713953558,0.0,0.335541630332,0.0101654665317,0.0450649609691,0.0411682550685,0.0489553596769,0.0277209200792,0.0202757967262,0.00941400153527,0.1245233943,0.038126144205,0.0515685092348
Diarrhea,0.0782496584505,0.0340016076997,0.0678437894676,0.00627158934789,0.0200890385674,0.0262828455328,0.0146849427398,0.0064116152284,0.293622915692,0.0260346673925,0.00547701075444,0.0551289089916,0.0241007562956,0.0212157322321,0.0239976415117,0.171485105699,0.0683015527902,0.0568006216068
Leg pain / numbness,0.0854250511405,0.0742485057395,0.0312444655003,0.0377478139653,0.0193550346495,0.0354870473703,0.00116740650366,0.0204591752462,0.0133888597707,0.303641611378,0.00945132734803,0.0418871696436,0.0547422077509,0.00576412798583,0.00863393516949,0.143736639531,0.064235855834,0.0493837654731
Night sweats,0.167148388669,0.0923340625278,1.97274293017e-05,0.000160713203933,0.0,0.00011356678469,0.0,0.0,0.0,0.00408331049239,0.263075522489,0.0174404778948,0.0012123504549,0.0,0.0481246702242,0.238528250267,0.0406695237631,0.0270894357998
Peripheral neuropathy,0.0447329168349,0.031511618682,0.0331676284921,0.0326028883327,0.0159449048319,0.0668001051352,0.00349024234713,0.0148306484068,0.0102146113603,0.0812474850732,0.00727093709925,0.0476747040053,0.231891947366,0.0118331178627,0.0326305501029,0.173435374293,0.0964255149639,0.0642948048108
