,Cough,Fever,Abdominal_pain,skin_rash,Lactic_acisdosis,Lipodystrophy,Anemia,Anorexia,Diarrhea,Leg_pain,Night_Sweats,Other,Peripheral_neuropathy,Vomiting,Weight_loss,Age,Last Drug,Tot Prev Month Symptoms
Original_symptoms.csv
Cough,0.152958777324,0.026986520787,0.0425928927758,0.0894206758153,0.00685653078363,0.0684319757076,0.00245574015706,0.0750811398499,0.00762604829251,0.0212411572617,0.0245562399191,0.0507184964826,0.0209995879504,0.00453380272163,0.0406975237301,0.204534716004,0.0563536609249,0.103954513513
Fever,0.0737084360919,0.232206195702,0.0431783762161,0.0324086955917,0.0125042491121,0.027635945446,0.00487241712378,0.0230800449503,0.0165777125641,0.0343490003648,0.0605450751926,0.0473498692432,0.0151414989555,0.0111172993036,0.0281340597072,0.184432864574,0.0786572895434,0.0741009703172
Abdominal pain,0.0747786894092,0.0423106370727,0.270244884727,0.0520095450431,0.0257999680287,0.0268122855526,0.00906926226937,0.053452696629,0.017802490031,0.0304597284511,0.00431160512937,0.0501095186387,0.0312660023302,0.00725999144166,0.0133567736035,0.151050471221,0.0771500874828,0.0627553629396
Skin rash,0.0521513665986,0.113525960438,0.0912605702574,0.0577646364349,0.0806920440556,0.0668630679694,0.00152211588416,0.102227282973,0.00510985029077,0.0335971310523,0.00440624204214,0.0234221718519,0.0149215824838,0.00122273156521,0.00992343216052,0.109322703688,0.0441473701404,0.187919740115
Lipodystrophy,0.0386132058674,0.0442415904127,0.0336017518675,0.106945099471,0.0540237103202,0.347182795053,0.0,0.0235044158582,0.0111573057065,0.0326311327265,0.00501297349029,0.0528826811637,0.0200208505646,0.00180686924778,0.00891015756182,0.0986331965244,0.0710284298424,0.0498038343224
Anemia,0.0406465529671,0.0603557617566,0.024382289631,0.0117773041143,0.0664468398443,0.00033598127346,0.312681949223,0.00404461040463,0.00279943233335,0.021925910956,0.068643034009,0.0268990754316,0.0318432543226,0.0162043555214,0.0120857324819,0.113568599467,0.0530083666758,0.132350949587
Anorexia,0.0772975244911,0.0199051602012,0.06573883043,0.035687343751,0.00351511399661,0.00624740629075,0.0,0.412716978399,0.00389386477619,0.0199802162942,0.0162061669496,0.0694213850376,0.0478037022508,0.00744752857678,0.00938464466226,0.100772719137,0.0586918448216,0.0452895699338
Diarrhea,0.0427163467436,0.0410992731358,0.0708821349812,0.0256671728196,0.0281938146086,0.00882935736999,0.0109089796512,0.0358301267445,0.264391934252,0.0400931876903,0.00833188408721,0.0455026072453,0.0233951569398,0.0136670659292,0.011949059344,0.169643826318,0.0594164563173,0.0994816158216
Leg pain / numbness,0.0637838620549,0.0502993344064,0.0276557875863,0.0333957497756,0.061234073074,0.0326382829984,0.00182638054681,0.0244828847258,0.011257723484,0.284450776753,0.00717492664297,0.0601234106313,0.0594849310086,0.00583044050628,0.0107656822655,0.138743533708,0.0608175409861,0.0660346788457
