,Cough,Fever,Abdominal_pain,skin_rash,Lactic_acisdosis,Lipodystrophy,Anemia,Anorexia,Diarrhea,Leg_pain,Night_Sweats,Other,Peripheral_neuropathy,Vomiting,Weight_loss,Age,Last Drug,Tot Prev Month Symptoms
Original_symptoms.csv
Cough,0.276622945281,0.0283465810538,0.0938596362105,0.0812131724499,0.0120937012302,0.0267752354768,0.00162274102659,0.0317296551735,0.00719916664386,0.0180295798061,0.0242276460331,0.0367677198783,0.018968253078,0.00337606209251,0.0296302579412,0.175916996346,0.0526498302553,0.0809708200236
Fever,0.10870566722,0.199588561554,0.0299892210754,0.0278800170611,0.0149796285341,0.024755263082,0.00337659538494,0.0264071241623,0.0131446117756,0.0271188282347,0.0427650637505,0.0593519364629,0.0251816594182,0.0192798187333,0.043223988434,0.173803467147,0.0904387403615,0.0700098076098
Abdominal pain,0.0556543150193,0.0642945064796,0.30820228391,0.0405674674187,0.0295541666564,0.0293780815921,0.00541361689576,0.0358112937136,0.0232624769039,0.029005923067,0.0117210871966,0.0359947204555,0.0353890036516,0.00834135701164,0.0152776988426,0.137232987538,0.0556219179112,0.079277095737
Skin rash,0.0774545681416,0.0411090248589,0.0429753087342,0.154049505872,0.066015558157,0.101231846837,0.00153027229322,0.1226477486,0.00429307316941,0.0279102864071,0.00424189968664,0.0200457566027,0.0167847455546,0.00145695881592,0.00747453655792,0.115137090799,0.0604106438075,0.135231175105
Lipodystrophy,0.0293396256137,0.0110386559189,0.020835914357,0.125666592331,0.0569264362606,0.335025401093,0.0,0.0338359261383,0.00988554158813,0.0324368216551,0.00214381331262,0.0181669846383,0.0606546758859,0.00185817636249,0.00654842167339,0.119232704066,0.10171654431,0.0346877647963
Anemia,0.0257264454432,0.0113649540917,0.0170397599336,0.00640714762084,0.0,0.0479835214023,0.430267425098,0.0285357509891,0.0114166016686,0.0280403959609,0.0025254050066,0.0406993149056,0.0181440055062,0.000158022513437,0.0319754290814,0.130766599169,0.0564772266659,0.112471994944
Anorexia,0.0641860195294,0.0262506058495,0.0422621124978,0.01877240382,0.0186534373423,0.0295625842525,0.0,0.458267445803,0.0264248715043,0.0188530944735,0.0116248060996,0.0576906175516,0.0212153013207,0.00872783349161,0.0208301563399,0.0604509102026,0.0851018577694,0.0311259421521
Diarrhea,0.0753842568896,0.0393744254308,0.0316556275126,0.013950294232,0.0126360755237,0.0249043058366,0.0027795378338,0.0245925309961,0.280490217837,0.0300865260958,0.00507826867749,0.0462203776428,0.0553281911314,0.020865885564,0.00730411790503,0.171320827441,0.0716539895063,0.0863745439441
Leg pain / numbness,0.0890832483001,0.0361644622708,0.0405072374165,0.0358045481428,0.0208583551029,0.0336174905026,0.00517115790751,0.0252575114132,0.0131897153631,0.302937343706,0.01033818662,0.050183087088,0.0520645660861,0.0049968304117,0.0134314085439,0.137508087872,0.0661136031456,0.0627731601072
