,Cough,Fever,Abdominal_pain,skin_rash,Lactic_acisdosis,Lipodystrophy,Anemia,Anorexia,Diarrhea,Leg_pain,Night_Sweats,Other,Peripheral_neuropathy,Vomiting,Weight_loss,Age,Last Drug,Tot Prev Month Symptoms
Original_symptoms.csv
Cough,0.25056385984,0.0413978695046,0.0214665351913,0.253359854598,0.122086364677,0.047441279159,0.00228876323037,0.00803988231094,0.008003598325,0.023395478983,0.0279150493003,0.0352326205762,0.0181956265293,0.00542756172428,0.0367512181151,0.0658908123025,0.0252531940565,0.00729043157692
Fever,0.0941550602494,0.310906355287,0.0256869741897,0.0314147856034,0.0204951973405,0.016478792957,0.00314047271507,0.0160999174303,0.0177714399058,0.0357692355506,0.0372236922687,0.0720980943321,0.028608103834,0.0256754781234,0.0423237867748,0.145096877217,0.0570611954401,0.0199945407806
Abdominal pain,0.0776159294159,0.0360372361541,0.321545522001,0.0587383907178,0.0271294388095,0.0692458557034,0.00642740085459,0.0285971683386,0.02612039832,0.0301907067643,0.00959498760091,0.0454045677633,0.0246741549378,0.0108474265737,0.0198276954534,0.143349338727,0.0501262998978,0.0145274819667
Skin rash,0.0397954395649,0.12574873992,0.0787850477684,0.0730420097927,0.11512305778,0.146502947068,0.000519904672584,0.215146054236,0.00413851294632,0.024724904768,0.00588587657856,0.017885451507,0.015560737883,0.00218697353919,0.00460930615358,0.0815776251389,0.0358344152609,0.0129329954228
Lipodystrophy,0.0306918914841,0.0175818775422,0.0177005106228,0.0483153120497,0.0615008488634,0.447118512272,2.8018621085e-05,0.0203797802299,0.0092862167264,0.0254640948598,0.00230473956505,0.0272820022914,0.0347078971624,0.0057880922844,0.0078873633185,0.133225838587,0.0961466632359,0.0145903402842
Anemia,0.037306418316,0.0170884509719,0.0673076937751,0.0277939130624,0.0,0.011820203394,0.52094216838,0.0500442707227,0.000592899088509,0.0103915044868,0.00911692686782,0.0469215526496,0.0418686681974,0.0014398316497,0.0150309844092,0.107363630132,0.0100694382185,0.0249014456777
Anorexia,0.0388131735913,0.0262158412125,0.0300272885737,0.00678227509892,0.0221807415794,0.0231227126564,1.31407394152e-05,0.557207712835,0.0155209709627,0.0455177100477,0.0138875247253,0.0397381756159,0.0207882381473,0.00353313156846,0.00331625778449,0.102193727494,0.0318869453489,0.0192544320186
Diarrhea,0.0530823126391,0.0378588794136,0.0411726270693,0.0432532121002,0.00779923817687,0.0262659811451,0.0105953417908,0.0145337049293,0.355577030726,0.0230404667745,0.000893409972599,0.0644812328408,0.0247153666757,0.0270149237377,0.0132598034122,0.148969972867,0.0808130349722,0.0266734607572
Leg pain / numbness,0.0718794683271,0.0328567414521,0.030819982253,0.0769414805177,0.0145186623298,0.0573071824787,0.00523694225124,0.0511593658741,0.0162389817664,0.330454060589,0.00670733790186,0.0513901608768,0.0457518927324,0.00737405831152,0.00753944817819,0.127999616565,0.0524637885207,0.0133608290747
Night sweats,0.20923345753,0.136713029805,3.9879255317e-05,0.00158535382934,3.88353566404e-05,0.000620569387791,0.0,0.000206381824791,0.00014389965363,0.0447008008068,0.339860880299,0.0231523689921,6.99345976672e-06,0.0,0.106014666953,0.0654496336075,0.0654331866213,0.00680006261894
Peripheral neuropathy,0.0540871567268,0.0185930774073,0.0293333128337,0.0307193143968,0.0309637616854,0.0685032116146,0.00215275651252,0.0128323017886,0.0111738316526,0.130628595473,0.00523645965991,0.0463527201439,0.296506947951,0.0127333163314,0.0257746391446,0.146723520143,0.0665312813413,0.0111537951937
Vomiting,0.0403064803896,0.0345709776966,0.0582297065627,0.040934629026,0.00419070165583,0.0051424028333,0.017936088746,0.0175869797515,0.0810964507723,0.0202124851885,0.012280625044,0.0309481912536,0.0263090821814,0.343908347305,0.0057627434924,0.176149222548,0.0690049532839,0.0154299322692
Weight loss / Failure to thrive / malnutrition,0.179019881264,0.0882764579627,0.00924830864116,0.03960169397,0.00125639739971,0.0249353980462,0.00149077589128,0.00822756686506,0.00804677386797,0.0173379387069,0.0215290685633,0.0351772445168,0.0157001250911,0.00714600504413,0.450595600215,0.0621298882426,0.0230676183423,0.00721325736913
Other symptom,0.102062120665,0.0411196821002,0.0763038368338,0.066167546997,0.0115660564125,0.0281752407861,0.00501812603321,0.0301794223997,0.017750726748,0.0477657427583,0.0123541586435,0.310498219025,0.0306637413212,0.0105353222638,0.0239136469086,0.126440986849,0.045165978605,0.014319444649
No symptoms,0.0877673381731,0.058852841651,0.0560999734563,0.0512267594297,0.0383597146373,0.0405930715347,0.00179722170698,0.0460253776324,0.0122925111414,0.0515962638555,0.0105570779755,0.0314801813245,0.0369498262374,0.00703680677967,0.0164404167877,0.316870030014,0.0897415623315,0.0463130253319

RandomUnderSampler_0.6_symptoms.csv
Cough,0.186078933393,0.115575012771,0.0236336684235,0.0317009943772,0.0,0.0157258736684,0.0156916794085,0.0239730872468,0.0478736662403,0.00304763511466,0.0441595936487,0.0210214565686,0.00922727585212,0.0134121346063,0.0829673798773,0.227269409315,0.137377976985,0.00126422250316
