,Cough,Fever,Abdominal_pain,skin_rash,Lactic_acisdosis,Lipodystrophy,Anemia,Anorexia,Diarrhea,Leg_pain,Night_Sweats,Other,Peripheral_neuropathy,Vomiting,Weight_loss,Age,Last Drug,Tot Prev Month Symptoms
Original_symptoms.csv
Cough,0.250614750943,0.0369503116924,0.128648801554,0.070273384146,0.0823875140673,0.0624180639694,0.00188791519576,0.0746597799615,0.00722100464532,0.0227382531069,0.0301568101376,0.0542499362023,0.0226460503984,0.00496569381592,0.0355232135033,0.0653406977703,0.0231827904315,0.0261350284586
Fever,0.0981956470816,0.256935887398,0.031352573703,0.0378623030874,0.0250115997346,0.0273056021128,0.00683049713103,0.0283814170592,0.0219109606801,0.0182042525111,0.0414636952058,0.0537961799405,0.022650264832,0.0158197513705,0.0368883676077,0.15115093897,0.0728214257721,0.0534186358024
Abdominal pain,0.0536883645,0.0770265628201,0.30458718778,0.0360345607773,0.0705333109138,0.0342637470515,0.00414562124453,0.0422578331366,0.0259010677387,0.0246819302984,0.00759806029275,0.0525283230057,0.0209134721693,0.0102469886482,0.0121518290704,0.103756245195,0.0517750331163,0.0679098622413
Skin rash,0.0375239734958,0.0254827772463,0.026107977527,0.388223839838,0.0804693436088,0.146158520617,0.000808943668131,0.08677035424,0.00412827412375,0.020942661334,0.00293654275064,0.0169388128077,0.0136226883325,0.00173834512049,0.0147918817731,0.0751799511246,0.0211334120513,0.0370417003402
Lipodystrophy,0.0386234703543,0.02980717468,0.0186261506379,0.0980548470951,0.114102177736,0.336920267066,2.42608600188e-05,0.0222703042923,0.00592077483244,0.0267002518444,0.00558611204574,0.0262899130133,0.0198922742184,0.00140629757226,0.0154317821779,0.125748544041,0.0798909972144,0.0347044003192
Anemia,0.0251762469997,0.04460339273,0.010983330569,0.0031535934227,0.00202976381715,0.0885123092364,0.551392121901,0.0425526301541,0.00922196606457,0.020828423404,0.00114110137237,0.00733750478034,0.0253621803077,7.710422809e-05,0.00155604591608,0.0794214457178,0.0479590474862,0.0386917918925
Anorexia,0.0403813423078,0.0487362686009,0.0348958488732,0.0107695884995,0.0509976693161,0.0325750044347,0.0,0.464341884341,0.014236409395,0.0368302102608,0.00547630534099,0.0182362700894,0.0326831980806,0.0338431229119,0.0262529767901,0.0914729744852,0.0108866617035,0.047384264569
Diarrhea,0.0448475411127,0.0519638600612,0.0705379691328,0.0315065621516,0.0469218391663,0.0153400037472,0.0065156583933,0.0185215578807,0.299664557884,0.0303024038928,0.00513677734215,0.0535120807216,0.032329887331,0.0254397377318,0.0179398212343,0.124912944775,0.0499144636128,0.0746923338283
Leg pain / numbness,0.0654800690289,0.0368560864382,0.0396653384614,0.0342238829417,0.0186512464046,0.039579107129,0.00443794978555,0.053389144208,0.0143279185805,0.36715584967,0.00743354516861,0.0641632405748,0.0573047212584,0.00404784281305,0.0118057730062,0.0921071729932,0.05755892692,0.0318121846176
Night sweats,0.172018716046,0.11484253591,0.0,0.000806307581979,9.98769195776e-05,0.00040045977547,0.0,3.79196646039e-05,0.000179995132967,0.0160325457869,0.194337975096,0.0106022270588,0.00871716075491,0.0,0.135235255175,0.153681403227,0.0751582027719,0.117849419099
Peripheral neuropathy,0.0440749851077,0.0273301031062,0.0244277596614,0.0554920487794,0.042061546397,0.0378034289211,0.00316732117396,0.0344703002477,0.0152384112518,0.120721065697,0.00963476451129,0.0711516724651,0.262164973506,0.0158674920118,0.0181473872064,0.111745826159,0.0510644088787,0.0554365049191
Vomiting,0.0460877661025,0.0275111602608,0.0790371760554,0.0297901831355,0.00889037647734,0.00390592264055,0.0061270515404,0.0323583017001,0.0409925264799,0.0156894007394,0.0274961762385,0.0351471713756,0.0074173458921,0.331798844598,0.00495426741139,0.151502987958,0.0899498384788,0.0613435029162
