,Cough,Fever,Abdominal_pain,skin_rash,Lactic_acisdosis,Lipodystrophy,Anemia,Anorexia,Diarrhea,Leg_pain,Night_Sweats,Other,Peripheral_neuropathy,Vomiting,Weight_loss,Age,Last Drug,Tot Prev Month Symptoms
Original_symptoms.csv
Cough,0.227180849207,0.0299507376547,0.0215873169971,0.0895023584721,0.0559659455548,0.112066955305,0.00204023077958,0.0119320633445,0.00754930128733,0.0202887130809,0.0255646468632,0.0364813903714,0.0178966578855,0.00377950529591,0.0284927486876,0.228900266608,0.0649310457418,0.015889266864
Fever,0.0664782430842,0.207167809354,0.0379869141707,0.031382644949,0.0131337187659,0.0381954968437,0.00239237496473,0.0226480438632,0.0211681805698,0.0296768963548,0.0505344676202,0.0838507479074,0.0298047337783,0.0186994134049,0.0273100028873,0.228494096102,0.0736758241274,0.0174003912525
Abdominal pain,0.0738869779262,0.0358666076126,0.277681602773,0.0305053560358,0.0249059695023,0.057808252556,0.00793198279819,0.044388982722,0.0273085742032,0.0280611292518,0.0116749136068,0.0545611935005,0.0247586042173,0.0267682175428,0.0149309713108,0.173864236703,0.0698510352222,0.0152453925155
Skin rash,0.182591265326,0.074064314228,0.0498424164202,0.110721668848,0.0892638713976,0.0686035126725,0.00150501742761,0.0514714092695,0.00510405359885,0.0380103671244,0.00537027444646,0.0279450298955,0.0198472888664,0.00290549398405,0.01156499734,0.163120821073,0.073935722609,0.0241324754727
Lipodystrophy,0.0467291453973,0.0297940498641,0.0256075104349,0.102123369569,0.0858775129854,0.352023215595,0.0,0.00826415281843,0.0250476267907,0.0241967780299,1.43002757697e-05,0.0330945072757,0.0268474029595,2.38028639247e-06,0.00114814194852,0.135757608809,0.0957020324303,0.00777026452985
Anemia,0.0145771380229,0.0084411449635,0.072430706257,0.000461975320594,0.0202558939756,0.0423531949842,0.400863054612,0.000174050615675,0.0102085832852,0.020535240769,0.0213925612755,0.0371099845345,0.00679023961772,0.00584802194189,0.00688046452698,0.174605764413,0.0626748895213,0.094397091363
Anorexia,0.0397530799519,0.0524653498148,0.0686056900561,0.0124788354693,0.0391661833247,0.0308295311944,0.0,0.346836592894,0.0340353727036,0.0221708208886,0.0298103651531,0.0246771280687,0.0205152604656,0.000770104481415,0.0468412516056,0.189910057244,0.0406883089572,0.000446067726937
Diarrhea,0.0623090771649,0.033768347436,0.0619700474935,0.0413417890238,0.00986746462781,0.0425971185761,0.0113250085504,0.0198580478903,0.250700274257,0.0387443165653,0.0139512619533,0.0651015474879,0.0381453989329,0.0164624146666,0.00813182480855,0.207444780485,0.0730355904295,0.00524568965145
Leg pain / numbness,0.0726490092826,0.0362391628008,0.0374056868175,0.024035024604,0.0159583326943,0.0629534178456,0.00190522297908,0.0220132045202,0.00826314093631,0.279591025145,0.00877241819543,0.0625809600201,0.0543809351955,0.00669054051782,0.0132540509592,0.185254161679,0.0919072741267,0.0161464316808
